latitude,longitude,title,thumbnail_url,artist_name,year
34.151382,-118.005803,"Art deco interpretation of the indigenous civilizations of Latin America, Monrovia",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/1549.jpeg,Unknown,1925
34.049975,-118.250957,"Subway terminal building, Los Angeles",https://raw.githubusercontent.com/kimjee8955/Datart/main/https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/78.jpeg,Ravenna Mosaic Company,1926
34.032992,-118.314461,"Interior ceilings and walls in William Andrews Clark memorial Library, Los Angeles",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/1752.jpeg,Allyn Cox,1926
34.14593,-118.138234,"Southern California industries, Pasadena",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/1993.jpeg,Alson Skinner Clark,1928
34.180597,-118.183488,"Flintridge Sacred Heart Academy, La Canada Flintridge",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/1889.jpeg,George Fisher; Desmond Rushton,1929
34.09967,-117.712605,"Prometheus, Claremont",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/1537.jpeg,Jose Clemente Orozco,1930
34.09967,-117.712605,"Prometheus, Claremont, detail",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/1538.jpeg,Jose Clemente Orozco,1930
34.09967,-117.712605,"Prometheus, Claremont",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/2007.jpeg,Jose Clemente Orozco,1930
34.050437,-118.253982,"The Apotheosis of power, Los Angeles",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/62.jpeg,Unknown,1930
34.04905,-118.251836,"Treaty of Cahuenga, Los Angeles",https://raw.githubusercontent.com/kimjee8955/Datart/main/images/Dunitz/1764.jpeg,Hugo Ballin,1931
